id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
543,2025,Indian Express - Entertainment,543,"De De Pyaar De 2 Box Office collection day 2: Ajay Devgn, Madhavan film sees 40% growth, crosses Rs 20 mark",,,Ajay Devgn;Rakul Preet Singh,https://indianexpress.com/article/entertainment/bollywood/de-de-pyaar-de-2-box-office-collection-day-2-ajay-devgn-madhavan-film-sees-40-growth-crosses-rs-20-mark-10368559/
544,2025,Indian Express - Entertainment,544,"Rajkumar Santoshi replaced Meenakshi Sheshadri in Damini after she refused his wedding proposal, Madhuri Dixit refused to step in",,,Meenakshi Seshadri;Tezaab,https://indianexpress.com/article/entertainment/bollywood/despite-replacing-her-in-tezaab-madhuri-dixit-stood-by-meenakshi-seshadri-during-damini-casting-10369090/
545,2025,Indian Express - Entertainment,545,Dharmendra’s relative was trained by Shah Rukh Khan for Kabhi Haan Kabhi Naa but ‘ran away from the screen test’; now works as a travel vlogger,,,Dharmendra;Shah Rukh Khan,https://indianexpress.com/article/entertainment/bollywood/dharmendra-daughter-in-law-deepti-bhatnagar-was-trained-by-shah-rukh-khan-for-kabhi-haan-kabhi-naa-but-ran-away-10368632/
546,2025,Indian Express - Entertainment,546,"‘Sunny Deol, Bobby Deol are scared of me, they don’t sit with me’: When Dharmendra talked about being friends with his children, said his father felt the same",,,Bobby Deol;Dharmendra;Sunny Deol,https://indianexpress.com/article/entertainment/bollywood/dharmendra-sons-sunny-deol-bobby-deol-scared-of-me-father-son-relationship-they-dont-sit-with-me-10367409/
547,2025,Indian Express - Entertainment,547,"‘I loved Homebound, been living with it for 3 years’: Martin Scorsese",,,Homebound,https://indianexpress.com/article/entertainment/bollywood/i-loved-homebound-been-living-with-it-for-3-years-martin-scorsese-10369028/
548,2025,Indian Express - Entertainment,548,Imran Khan calls acting comeback after 15 years a ‘natural progression’: ‘I’ve been through a divorce…’,,,Imran Khan;Imran Khan films,https://indianexpress.com/article/entertainment/bollywood/imran-khan-calls-acting-comeback-after-15-years-a-natural-progression-ive-been-through-a-divorce-10368546/
549,2025,Indian Express - Entertainment,549,"Jaaved Jafferi recalls when Ajay Devgn fed him bhaang without his consent, says it felt ‘like a black hole’: ‘I called my son, like I was giving my will’",,,Ajay Devgn;Jaaved Jaaferi,https://indianexpress.com/article/entertainment/bollywood/jaaved-jafferi-recalls-when-ajay-devgn-fed-him-bhaang-without-his-consent-10367438/
550,2025,Indian Express - Entertainment,550,Salman Khan dances to ‘Dil Diyan Gallan’ with Tamannaah Bhatia while fans miss Katrina Kaif. Watch,,,A post shared by Salman Khan (@beingsalmankhan),https://indianexpress.com/article/entertainment/bollywood/salman-khan-tamannaah-bhatia-dil-diyan-gallan-fans-miss-katrina-kaif-watch-10366993/
551,2025,Indian Express - Entertainment,551,"Sushmita Sen stayed conscious during surgery after suffering heart attack: ‘I didn’t want pain numbed, asked doctors to hurry’",,,Sushmita Sen,https://indianexpress.com/article/entertainment/bollywood/sushmita-sen-recalls-staying-conscious-during-her-surgery-after-suffering-a-heart-attack-10368857/
552,2025,Indian Express - Entertainment,552,"‘Yeh kya lungi baandhi hai’: Farah Khan scolded Sushmita Sen on Main Hoon Na sets, said you’ll wear a saree ‘and that’s it’",,,farah khan;Shah Rukh Khan;Sushmita Sen,https://indianexpress.com/article/entertainment/bollywood/sushmita-sen-says-she-froze-in-main-hoon-nas-red-saree-as-farah-khan-blasted-storm-fans-she-made-me-tie-it-really-low-10367846/
553,2025,Indian Express - Entertainment,553,"Two Vishwatma actors were arrested in Kenya, reveals Rajiv Rai: ‘You can’t roam at night, they can shoot you’",,,Rajiv Rai,https://indianexpress.com/article/entertainment/bollywood/two-vishwatma-actors-were-arrested-in-kenya-reveals-director-rajiv-rai-10368963/
554,2025,Indian Express - Entertainment,554,Vivek Oberoi recalls cleaning rehearsal rooms and serving tea as Farah Khan’s assistant: ‘I never told anybody who my father was’,,,Vivek Oberoi,https://indianexpress.com/article/entertainment/bollywood/vivek-oberoi-recalls-cleaning-rehearsal-rooms-serving-tea-farah-khan-assistant-10367613/
555,2025,Indian Express - Entertainment,555,"‘Drishyam 3 won’t be like Drishyam 1 or 2,’ reveals Jeethu Joseph; opens up about his approach to creating the franchise: ‘My focus is only on…’",,,,https://indianexpress.com/article/entertainment/malayalam/drishyam-3-wont-be-like-drishyam-1-or-2-reveals-jeethu-joseph-opens-up-about-approach-to-creating-franchise-10368755/
556,2025,Indian Express - Entertainment,556,"Kaantha box office collection Day 2: Dulquer Salmaan’s period drama sees 11.49% growth, earns over Rs 10 cr worldwide",,,Dulquer Salmaan,https://indianexpress.com/article/entertainment/tamil/kaantha-box-office-collection-day-2-dulquer-salmaans-period-drama-sees-11-49-growth-earns-over-rs-10-cr-worldwide-10368754/
557,2025,Indian Express - Entertainment,557,"Rohit Shetty confirms Khatron Ke Khiladi 15, says all Bigg Boss 19 contestants ‘fit the bill’ for the show: ‘It will come next year’",,,A post shared by ColorsTV (@colorstv),https://indianexpress.com/article/entertainment/television/rohit-shetty-confirms-khatron-ke-khiladi-15-says-all-bigg-boss-19-contestants-fit-the-bill-for-the-show-10368556/
558,2025,Indian Express - Entertainment,558,Rohit Shetty schools Amaal Mallik for threating to walk out of Bigg Boss 19: ‘Salman bhai has asked me to open the main door’,,,A post shared by JioHotstar Reality (@jiohotstarreality),https://indianexpress.com/article/entertainment/television/rohit-shetty-schools-amaal-mallik-for-threating-to-walk-out-of-bigg-boss-19-10368650/
559,2025,Indian Express - Entertainment,559,"Varanasi, Globetrotter event Live Updates: Mahesh Babu plays Rudhra in SS Rajamouli time travel film; celebs praise first glimpse",,,Mahesh Babu;Prithviraj Sukumaran;Priyanka Chopra;SS Rajamouli,https://indianexpress.com/article/entertainment/telugu/globetrotter-event-live-updates-ss-rajamouli-unveils-first-look-title-of-mahesh-babu-priyanka-chopra-prithviraj-film-10366815/
