id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
41,2025,Indian Express - Sports,41,Serena Williams says she is not coming back to tennis,,,Serena Williams;Serena Williams Tennis,https://indianexpress.com/article/sports/tennis/serena-williams-says-she-is-not-coming-back-to-tennis-10399251/
42,2025,Indian Express - Sports,42,Ashes 2025-26: Usman Khawaja ruled out of Australia XI for Pink Ball Test at Gabba,,,,https://indianexpress.com/article/sports/cricket/ashes-2025-usman-khawaja-ruled-out-australia-11-pink-ball-test-10397758/
43,2025,Indian Express - Sports,43,Ashes: Will Jacks replaces injured Mark Wood as England announce playing XI vs Australia for Pink-Ball Test at Gabba,,,Aus Vs Eng;Australia vs England;Cricket;Cricket News;ENG vs AUS;England;England Ashes series;England vs Australia;Mark Wood;the Ashes series,https://indianexpress.com/article/sports/cricket/england-xi-gabba-test-jacks-wood-pink-ball-test-ashes-10397660/
44,2025,Indian Express - Sports,44,Former England batter Robin Smith dies aged 62,,,England,https://indianexpress.com/article/sports/cricket/former-england-batter-robin-smith-dies-aged-62-passes-away-10398025/
45,2025,Indian Express - Sports,45,"6, 6, 6! Hardik Pandya powers Baroda’s record SMAT chase in comeback match after two months",,,Hardik Pandya;Syed Mushtaq Ali Trophy,https://indianexpress.com/article/sports/cricket/hardik-pandya-powers-baroda-record-chase-sixes-injury-comeback-10397801/
46,2025,Indian Express - Sports,46,"India vs South Africa 2nd ODI Match: Date, Time, Squad, Predicted Playing XI, Other Details of IND vs SA",,,Cricket;Cricket News;Ind vs SA;India Vs South Africa,https://indianexpress.com/article/sports/cricket/india-vs-south-africa-2nd-odi-date-time-squad-playing-xi-10397760/
47,2025,Indian Express - Sports,47,"IND vs SA, 2nd ODI: What to expect from Raipur pitch and weather during India vs South Africa?",,,India Vs South Africa,https://indianexpress.com/article/sports/cricket/india-vs-south-africa-raipur-shaheed-veer-narayan-singh-international-stadium-pitch-report-weather-forecast-10398416/
48,2025,Indian Express - Sports,48,‘He hits a lot of sixes’: Aakash Chopra predicts most expensive uncapped player in IPL 2026 auction,,,IPL;IPL auction,https://indianexpress.com/article/sports/cricket/ipl-2026-auction-aakash-chopra-predicts-most-expensive-uncapped-player-10397585/
49,2025,Indian Express - Sports,49,"Glenn Maxwell not in IPL 2026 auction pool, Cameron Green puts his name at Rs 2 crore base price",,,Glenn Maxwell;IPL;IPL auction,https://indianexpress.com/article/sports/cricket/ipl-auction-2026-no-glenn-maxwell-top-2-crore-base-price-list-10397500/
50,2025,Indian Express - Sports,50,"‘Main pehla responsibility leta’: Ravi Shastri slams Gautam Gambhir, India batters for Test collapses in South Africa series",,,Gautam Gambhir;Ravi Shastri,https://indianexpress.com/article/sports/cricket/ravi-shastri-slams-gautam-gambhir-batters-responsible-india-test-collapse-10397332/
51,2025,Indian Express - Sports,51,"‘When Rohit bhai and Virat bhai are in same team, confidence level is completely different’: Tilak Varma",,,India Vs South Africa;Rohit Sharma;Tilak Varma;Virat Kohli,https://indianexpress.com/article/sports/cricket/rohit-sharma-virat-kohli-same-team-confidence-boost-tilak-varma-10398078/
52,2025,Indian Express - Sports,52,"IND vs SA, 2nd ODI: Washington Sundar or Nitish Kumar Reddy in Raipur? Dew will take the call",,,Cricket;Cricket News;India Vs South Africa;India vs South Africa ODIs;Nitish Kumar Reddy;Raipur;South Africa vs India;Temba Bavuma;Washington Sundar,https://indianexpress.com/article/sports/cricket/sundar-or-nitish-reddy-raipur-odi-dew-ind-vs-sa-2nd-odi-10397909/
53,2025,Indian Express - Sports,53,"Vaibhav Suryavanshi continues record rampage, becomes first teenager to smash 3 T20 centuries with maiden SMAT ton",,,Syed Mushtaq Ali Trophy;Vaibhav Suryavanshi,https://indianexpress.com/article/sports/cricket/vaibhav-suryavanshi-smat-2025-record-1st-teenager-3-t20-centuries-10397534/
54,2025,Indian Express - Sports,54,‘Very un-Bazball’: Michael Vaughan questions Will Jacks’ selection for second Ashes Test against Australia at Brisbane,,,Aus Vs Eng;Australia vs England;England Ashes series;England vs Australia;michael vaughan;the Ashes series,https://indianexpress.com/article/sports/cricket/vaughan-questions-will-jacks-selection-2nd-ashes-test-eng-vs-aus-10397871/
55,2025,Indian Express - Sports,55,Virat Kohli informs Delhi team he is available for Vijay Hazare Trophy days after he seemed ready to defy BCCI diktat,,,Vijay Hazare Trophy;Virat Kohli,https://indianexpress.com/article/sports/cricket/virat-kohli-available-vijay-hazare-trophy-delhi-bcci-diktat-10398806/
56,2025,Indian Express - Sports,56,"Santiago Nieva interview: ‘You need to make sure that the programme is strong enough that if one or two of your stronger boxers fail, others can step up’",,,,https://indianexpress.com/article/sports/sport-others/santiago-nieva-head-coach-indian-womens-team-interview-10397555/
57,2025,Indian Express - Sports,57,‘That doesn’t cut ice for me’: R Ashwin reacts to speculations surrounding Rohit Sharma and Virat Kohli’s future amid IND vs SA ODI series,,,India Vs South Africa;R Ashwin;Rohit Sharma;Virat Kohli,https://indianexpress.com/article/sports/cricket/ashwin-reacts-speculations-of-rohit-sharma-virat-kohli-odi-future-ind-vs-sa-10395928/
58,2025,Indian Express - Sports,58,‘There is something wrong in squad selection’: Ashwin slams Nitish Kumar Reddy’s exclusion from IND vs SA ODI in Ranchi,,,India Vs South Africa;India vs South Africa ODIs;Nitish Kumar Reddy;R Ashwin;Ravichandran Ashwin,https://indianexpress.com/article/sports/cricket/ashwin-slams-nitish-kumar-reddy-exclusion-ind-vs-sa-odi-ranchi-10396241/
59,2025,Indian Express - Sports,59,Watch: Steve Smith wears anti-glare eye strips during training ahead of day-night pink ball Ashes Test vs England at Brisbane,,,Ashes Test;Ashes tour;Pink ball test;Steve Smith,https://indianexpress.com/article/sports/cricket/australia-steve-smith-anti-glare-eyestrips-pink-ball-ashes-10395762/
